"id";"event_id";"bib";"video_count";"videoname";"upload_time";"orientation";"screen_id";"played_time";"played";"detection_time";"detection";"ready";"approved";"trash";"remark"
"86";;"8900";"1";"8900-1.mov";"2025-10-01 14:39:21";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"87";;"13150";"1";"13150-1.mov";"2025-10-01 14:45:22";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"88";;"887";"1";"887-1.mov";"2025-10-01 14:54:15";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"89";;"887";"2";"887-2.mov";"2025-10-01 14:54:18";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"90";;"887";"3";"887-3.mov";"2025-10-01 14:54:24";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"91";;"26104";"1";"26104-1.mov";"2025-10-01 14:58:12";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund"
"92";;"26104";"2";"26104-2.mov";"2025-10-01 14:58:19";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"93";;"6891";"1";"6891-1.mov";"2025-10-01 15:15:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund"
"94";;"29052";"1";"29052-1.mov";"2025-10-01 15:18:16";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"95";;"33444";"1";"33444-1.mp4";"2025-10-01 15:31:16";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Langer Schnitt!"
"96";;"33443";"1";"33443-1.mp4";"2025-10-01 15:31:58";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"97";;"9266";"1";"9266-1.mp4";"2025-10-01 16:52:07";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"98";;"9266";"2";"9266-2.mp4";"2025-10-01 17:06:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"99";;"10543";"1";"10543-1.mov";"2025-10-01 17:10:49";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"100";;"10543";"2";"10543-2.mov";"2025-10-01 17:10:50";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";
"101";;"3479";"1";"3479-1.mov";"2025-10-01 17:21:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Konfetti"
"102";;"15117";"2";"15117-2.mov";"2025-10-01 17:27:50";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"International!"
"103";;"10815";"1";"10815-1.mov";"2025-10-01 17:45:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"104";;"25406";"1";"25406-1.mp4";"2025-10-01 17:59:11";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"105";;"10815";"2";"10815-2.mov";"2025-10-01 18:04:14";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"106";;"4164";"1";"4164-1.mp4";"2025-10-01 18:13:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"107";;"1816";"1";"1816-1.mov";"2025-10-01 18:57:58";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"108";;"27207";"1";"27207-1.mov";"2025-10-01 19:07:00";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"109";;"15117";"3";"15117-3.mp4";"2025-10-01 19:26:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"110";;"15117";"4";"15117-4.mp4";"2025-10-01 19:26:45";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"111";;"15117";"5";"15117-5.mp4";"2025-10-01 19:26:48";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"112";;"18848";"1";"18848-1.mov";"2025-10-01 20:22:34";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"113";;"5681";"1";"5681-1.mov";"2025-10-01 20:53:29";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"114";;"5681";"2";"5681-2.mov";"2025-10-01 20:53:36";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"International kid"
"115";;"25703";"1";"25703-1.mov";"2025-10-01 20:59:20";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Pilot"
"116";;"3160";"1";"3160-1.mov";"2025-10-01 21:09:05";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"117";;"3160";"2";"3160-2.mov";"2025-10-01 21:09:06";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"International!!"
"118";;"8150";"1";"8150-1.mov";"2025-10-01 21:11:23";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
